City_ID,City,Country,Max Temp,City_Descr,Lat,Lng,Hotel Name
640,Gizo,SB,80.55,light rain,-8.1,156.84,Imagination Island
641,Garmsar,IR,81.0,clear sky,35.22,52.34,Peyvand Hotel
642,Bacolod,PH,77.11,overcast clouds,10.67,122.95,Planta Hotel & Residences
643,Matay,EG,79.86,clear sky,28.42,30.78,Nag Aespen
645,Lompoc,US,88.0,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
648,Yingcheng,CN,86.0,light rain,30.95,113.55,Yingcheng Hotel
650,Trincomalee,LK,80.04,overcast clouds,8.57,81.23,Welcombe Hotel
655,Gigmoto,PH,79.57,broken clouds,13.78,124.39,Cj's Travellers Inn
659,Awbari,LY,88.61,clear sky,26.59,12.78,فندق أوباري
664,Grafton,US,82.99,scattered clouds,42.21,-71.69,The Grafton Inn
665,Santiago Del Estero,AR,79.03,clear sky,-27.8,-64.26,Hotel Urbano
